scientific_name,mass_g
Tringa totanus,129.0
Troglodytes troglodytes,9.7
Turdus iliacus,61.2
Turdus merula,102.7
Turdus philomelos,67.7
Turdus pilaris,106.0
Turdus viscivorus,117.4
Tyto alba,403.3
Upupa epops,66.9
Uria aalge,991.9
Vanellus vanellus,218.4
Zapornia parva,49.7
